,Title,Year,Genre,IMDB_Score,Metascore,Votes,US_Gross
294,The Conjuring 2,2016,"Drama, Horror, Mystery",7.4,65,189729,936662225
295,The Maze Runner,2014,"Action, Mystery, Sci-Fi",6.8,57,382888,936662225
296,Annabelle: Creation,2017,"Horror, Mystery, Thriller",6.5,62,86913,936662225
297,The Equalizer 2,2018,"Action, Crime, Thriller",6.7,50,88387,936662225
298,Bad Grandpa,2013,Comedy,6.5,54,85330,936662225
299,Pacific Rim,2013,"Action, Adventure, Sci-Fi",6.9,65,440049,936662225
300,The Equalizer,2014,"Action, Crime, Thriller",7.2,57,297757,936662225
301,This Is the End,2013,"Comedy, Fantasy",6.6,67,357368,936662225
302,Noah,2014,"Action, Adventure, Drama",5.8,68,227523,936662225
303,Arrival,2016,"Drama, Mystery, Sci-Fi",7.9,81,503523,936662225
304,Due Date,2010,"Adventure, Comedy",6.5,51,301081,936662225
305,A Wrinkle in Time,2018,"Adventure, Family, Fantasy",4.2,53,33723,936662225
306,Fifty Shades Freed,2018,"Drama, Romance, Thriller",4.5,31,42008,936662225
307,Bad Teacher,2011,"Comedy, Romance",5.7,47,179674,936662225
308,Yogi Bear,2010,"Animation, Adventure, Comedy",4.6,35,18783,936662225
309,Cowboys & Aliens,2011,"Action, Sci-Fi, Thriller",6,50,194539,936662225
310,Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy",6.8,44,223761,936662225
311,Edge of Tomorrow,2014,"Action, Sci-Fi",7.9,71,539914,936662225
312,Passengers,2016,"Drama, Romance, Sci-Fi",7,41,304626,936662225
313,Gnomeo & Juliet,2011,"Animation, Adventure, Comedy",6,53,49133,936662225
314,Rampage,2018,"Action, Adventure, Sci-Fi",6.1,45,110405,936662225
315,Christopher Robin,2018,"Animation, Adventure, Comedy",7.4,60,46963,936662225
316,Olympus Has Fallen,2013,"Action, Thriller",6.5,41,233243,936662225
317,The Green Hornet,2011,"Action, Comedy, Crime",5.8,39,147780,936662225
318,Date Night,2010,"Comedy, Crime, Romance",6.3,56,143633,936662225
319,Sausage Party,2016,"Animation, Adventure, Comedy",6.2,66,156860,936662225
320,Public Enemies,2009,"Biography, Crime, Drama",7,70,259755,936662225
321,The Social Network,2010,"Biography, Drama",7.7,95,563755,936662225
322,Zero Dark Thirty,2012,"Drama, Thriller",7.4,95,248522,936662225
323,Sex and the City 2,2010,"Comedy, Drama, Romance",4.4,27,68539,936662225
324,42,2013,"Biography, Drama, Sport",7.5,62,76826,936662225
325,The Book of Eli,2010,"Action, Adventure, Drama",6.9,53,268547,936662225
326,Julie & Julia,2009,"Biography, Drama, Romance",7,66,95447,936662225
327,He's Just Not That Into You,2009,"Comedy, Drama, Romance",6.4,47,148743,936662225
328,Flight,2012,"Drama, Thriller",7.3,76,300463,936662225
329,The Fighter,2010,"Biography, Drama, Sport",7.8,79,314131,936662225
330,Tomorrowland,2015,"Action, Adventure, Family",6.4,60,160077,936662225
331,The Magnificent Seven,2016,"Action, Adventure, Western",6.9,54,166204,936662225
332,Elysium,2013,"Action, Drama, Sci-Fi",6.6,61,392119,936662225
333,The Town,2010,"Crime, Drama, Thriller",7.6,74,319824,936662225
334,Non-Stop,2014,"Action, Mystery, Thriller",7,56,232829,936662225
335,Blade Runner 2049,2017,"Drama, Mystery, Sci-Fi",8,81,367599,936662225
336,John Wick: Chapter 2,2017,"Action, Crime, Thriller",7.5,75,265565,936662225
337,Think Like a Man,2012,"Comedy, Romance",6.6,51,40718,936662225
338,Heaven Is for Real,2014,"Biography, Drama, Family",5.8,47,24011,936662225
339,The Imitation Game,2014,"Biography, Drama, Thriller",8,73,611408,936662225
340,Ride Along 2,2016,"Action, Comedy",5.9,32,47869,936662225
341,Prince of Persia: The Sands of Time,2010,"Action, Adventure, Fantasy",6.6,50,252430,936662225
342,Madea Goes to Jail,2009,"Comedy, Crime, Drama",4.4,50,10785,936662225
343,Get Hard,2015,"Comedy, Crime",6,34,109808,936662225
344,RED,2010,"Action, Comedy, Crime",7.1,60,269603,936662225
345,Planes,2013,"Animation, Adventure, Comedy",5.7,39,39615,936662225
346,Terminator Genisys,2015,"Action, Adventure, Sci-Fi",6.4,38,231126,936662225
347,The Lone Ranger,2013,"Action, Adventure, Western",6.4,37,207292,936662225
348,Taken 3,2014,"Action, Thriller",6,26,163317,936662225
349,Don't Breathe,2016,"Crime, Horror, Thriller",7.1,71,182799,936662225
350,Oblivion,2013,"Action, Adventure, Sci-Fi",7,54,448912,936662225
351,The Ugly Truth,2009,"Comedy, Romance",6.5,28,188354,936662225
352,Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Family, Fantasy",5.9,47,163655,936662225
353,The Muppets,2011,"Adventure, Comedy, Family",7.1,75,82323,936662225
354,Miss Peregrine's Home for Peculiar Children,2016,"Adventure, Drama, Fantasy",6.7,57,138576,936662225
355,Sisters,2015,Comedy,6,58,58291,936662225
356,The Campaign,2012,Comedy,6.1,50,118120,936662225
357,The Accountant,2016,"Action, Crime, Drama",7.3,51,229829,936662225
358,Dumb and Dumber To,2014,"Adventure, Comedy",5.6,36,117335,936662225
359,The Emoji Movie,2017,"Animation, Adventure, Comedy",3.2,12,46004,936662225
360,Annie,2014,"Comedy, Drama, Family",5.3,33,30900,936662225
361,Alvin and the Chipmunks: The Road Chip,2015,"Animation, Adventure, Comedy",5.1,33,14178,936662225
362,Fury,2014,"Action, Drama, War",7.6,64,377354,936662225
363,Real Steel,2011,"Action, Drama, Family",7.1,56,281985,936662225
364,Power Rangers,2017,"Action, Adventure, Sci-Fi",6,44,90215,936662225
365,The Expendables 2,2012,"Action, Adventure, Thriller",6.6,51,275639,936662225
366,Paranormal Activity 2,2010,Horror,5.7,53,92423,936662225
367,Tammy,2014,"Comedy, Romance",4.9,39,43914,936662225
368,Ferdinand,2017,"Animation, Adventure, Comedy",6.7,58,38883,936662225
369,"Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance",7.4,68,433674,936662225
370,Annabelle,2014,"Horror, Mystery, Thriller",5.4,37,119252,936662225
371,Green Book,2018,"Biography, Comedy, Drama",8.3,69,158162,936662225
372,The Other Woman,2014,"Comedy, Romance",6,39,121801,936662225
373,Up in the Air,2009,"Comedy, Drama, Romance",7.4,83,299068,936662225
374,Wrath of the Titans,2012,"Action, Adventure, Fantasy",5.7,37,170893,936662225
375,Insidious: Chapter 2,2013,"Horror, Mystery, Thriller",6.6,40,139156,936662225
376,Battle Los Angeles,2011,"Action, Sci-Fi",5.8,37,166198,936662225
377,Immortals,2011,"Action, Drama, Fantasy",6,46,152075,936662225
378,I Can Only Imagine,2018,"Biography, Drama, Family",7.4,30,10720,936662225
379,Penguins of Madagascar,2014,"Animation, Adventure, Comedy",6.7,53,71824,936662225
380,Saving Mr. Banks,2013,"Biography, Comedy, Drama",7.5,65,138845,936662225
381,Smallfoot,2018,"Animation, Adventure, Comedy",6.7,60,20840,936662225
382,Turbo,2013,"Animation, Adventure, Comedy",6.4,58,73597,936662225
383,The Descendants,2011,"Comedy, Drama",7.3,84,222521,936662225
384,Let's Be Cops,2014,"Comedy, Crime",6.4,30,120872,936662225
385,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Action, Adventure, Comedy",6,40,76249,936662225
386,The Post,2017,"Biography, Drama, History",7.2,83,104750,936662225
387,Maze Runner: The Scorch Trials,2015,"Action, Sci-Fi, Thriller",6.3,43,198219,936662225
388,Unstoppable,2010,"Action, Thriller",6.8,69,171627,936662225
389,Ted 2,2015,Comedy,6.3,48,163217,936662225
390,Eat Pray Love,2010,"Drama, Romance",5.8,50,76643,936662225
