,Title,Year,Genre,IMDB_Score,Metascore,Votes,US_Gross
176,Trolls,2016,"Animation, Adventure, Comedy",6.5,56,62336,936662225
177,Cars 3,2017,"Animation, Adventure, Comedy",6.8,59,57128,936662225
178,G.I. Joe: The Rise of Cobra,2009,"Action, Adventure, Sci-Fi",5.8,32,190179,936662225
179,La La Land,2016,"Comedy, Drama, Music",8,93,426200,936662225
180,Divergent,2014,"Action, Adventure, Mystery",6.7,48,396301,936662225
181,We're the Millers,2013,"Comedy, Crime",7,44,368440,936662225
182,Daddy's Home,2015,Comedy,6.2,42,95327,936662225
183,Neighbors,2014,Comedy,6.3,68,263408,936662225
184,American Hustle,2013,"Crime, Drama",7.2,90,414989,936662225
185,Puss in Boots,2011,"Animation, Action, Adventure",6.6,65,132050,936662225
186,Les Misérables,2012,"Drama, History, Musical",7.6,63,283365,936662225
187,Megamind,2010,"Animation, Action, Comedy",7.3,63,205165,936662225
188,Little Fockers,2010,"Comedy, Romance",5.5,27,98374,936662225
189,Hotel Transylvania,2012,"Animation, Comedy, Family",7.1,47,202341,936662225
190,War for the Planet of the Apes,2017,"Action, Adventure, Drama",7.5,82,197198,936662225
191,X: First Class,2011,"Action, Adventure, Sci-Fi",7.7,65,601661,936662225
192,The Meg,2018,"Action, Horror, Sci-Fi",5.7,46,102230,936662225
193,The Great Gatsby,2013,"Drama, Romance",7.3,55,427510,936662225
194,Rio,2011,"Animation, Adventure, Comedy",6.9,63,189848,936662225
195,Kung Fu Panda 3,2016,"Animation, Action, Adventure",7.1,66,113531,936662225
196,The Smurfs,2011,"Animation, Adventure, Comedy",5.5,30,76803,936662225
197,Taken 2,2012,"Action, Thriller",6.3,45,271021,936662225
198,Ocean's 8,2018,"Action, Comedy, Crime",6.2,61,134403,936662225
199,The King's Speech,2010,"Biography, Drama, History",8,88,588213,936662225
200,21 Jump Street,2012,"Action, Comedy, Crime",7.2,69,473512,936662225
201,Split,2016,"Horror, Thriller",7.3,62,341318,936662225
202,A Christmas Carol,2009,"Animation, Drama, Family",6.8,55,91064,936662225
203,Ready Player One,2018,"Action, Adventure, Sci-Fi",7.5,64,289104,936662225
204,The Conjuring,2013,"Horror, Mystery, Thriller",7.5,68,389960,936662225
205,Argo,2012,"Biography, Drama, Thriller",7.7,86,530334,936662225
206,Ride Along,2014,"Action, Comedy, Crime",6.2,41,93379,936662225
207,Identity Thief,2013,"Adventure, Comedy, Crime",5.7,35,114321,936662225
208,Grown Ups 2,2013,Comedy,5.4,19,127142,936662225
209,Angels & Demons,2009,"Mystery, Thriller",6.7,48,250104,936662225
210,Alvin and the Chipmunks: Chipwrecked,2011,"Animation, Adventure, Comedy",4.4,24,27736,936662225
211,The Wolverine,2013,"Action, Adventure, Sci-Fi",6.7,61,395729,936662225
212,Wonder,2017,"Drama, Family",8,66,107957,936662225
213,Silver Linings Playbook,2012,"Comedy, Drama, Romance",7.7,81,616768,936662225
214,The Last Airbender,2010,"Action, Adventure, Family",4.1,20,136572,936662225
215,Rio 2,2014,"Animation, Adventure, Comedy",6.3,49,71248,936662225
216,Insurgent,2015,"Action, Adventure, Sci-Fi",6.2,42,197255,936662225
217,The Peanuts Movie,2015,"Animation, Comedy, Drama",7.1,67,38807,936662225
218,Transformers: The Last Knight,2017,"Action, Adventure, Sci-Fi",5.2,27,115687,936662225
219,Ghostbusters,2016,"Action, Comedy, Fantasy",5.2,60,184580,936662225
220,Kingsman: The Secret Service,2014,"Action, Adventure, Comedy",7.7,60,537150,936662225
221,Shutter Island,2010,"Mystery, Thriller",8.1,63,991173,936662225
222,Into the Woods,2014,"Adventure, Comedy, Drama",6,69,122487,936662225
223,Central Intelligence,2016,"Action, Comedy, Crime",6.3,52,135499,936662225
224,Anchorman 2: The Legend Continues,2013,Comedy,6.3,61,154589,936662225
225,Bumblebee,2018,"Action, Adventure, Sci-Fi",7,66,65760,936662225
226,Super 8,2011,"Mystery, Sci-Fi, Thriller",7,72,318626,936662225
227,Lucy,2014,"Action, Sci-Fi, Thriller",6.4,61,398333,936662225
228,The Legend of Tarzan,2016,"Action, Adventure, Drama",6.3,44,148126,936662225
229,Prometheus,2012,"Adventure, Mystery, Sci-Fi",7,64,534939,936662225
230,Safe House,2012,"Action, Adventure, Crime",6.8,52,191090,936662225
231,Terminator Salvation,2009,"Action, Adventure, Sci-Fi",6.6,49,317885,936662225
232,Lone Survivor,2013,"Action, Biography, Drama",7.5,60,244398,936662225
233,Sully,2016,"Biography, Drama",7.5,74,198684,936662225
234,The Vow,2012,"Drama, Romance",6.8,43,171981,936662225
235,Life of Pi,2012,"Adventure, Drama, Fantasy",7.9,79,529158,936662225
236,The Fault in Our Stars,2014,"Drama, Romance",7.7,69,311277,936662225
237,Cloudy with a Chance of Meatballs,2009,"Animation, Action, Adventure",7,66,183930,936662225
238,Rango,2011,"Animation, Adventure, Comedy",7.2,75,213645,936662225
239,The Good Dinosaur,2015,"Animation, Adventure, Comedy",6.7,66,90436,936662225
240,G.I. Joe: Retaliation,2013,"Action, Adventure, Sci-Fi",5.8,41,164670,936662225
241,Mamma Mia! Here We Go Again,2018,"Comedy, Musical, Romance",6.8,60,54903,936662225
242,Inglourious Basterds,2009,"Adventure, Drama, War",8.3,69,1103144,936662225
243,Cloudy with a Chance of Meatballs 2,2013,"Animation, Action, Adventure",6.4,59,79855,936662225
244,G-Force,2009,"Animation, Action, Adventure",5.1,41,38689,936662225
245,The Other Guys,2010,"Action, Comedy, Crime",6.7,64,219495,936662225
246,Salt,2010,"Action, Mystery, Thriller",6.4,65,275423,936662225
247,Now You See Me,2013,"Crime, Mystery, Thriller",7.3,50,547421,936662225
248,Horrible Bosses,2011,"Comedy, Crime",6.9,57,396037,936662225
249,The Nun,2018,"Horror, Mystery, Thriller",5.4,46,81934,936662225
250,The Wolf of Wall Street,2013,"Biography, Crime, Drama",8.2,75,1018558,936662225
251,The Butler,2013,"Biography, Drama",7.2,66,101773,936662225
252,Green Lantern,2011,"Action, Adventure, Sci-Fi",5.5,39,250216,936662225
253,Creed II,2018,"Drama, Sport",7.3,66,60280,936662225
254,District 9,2009,"Action, Sci-Fi, Thriller",7.9,81,599750,936662225
255,Unbroken,2014,"Biography, Drama, Sport",7.2,59,128834,936662225
256,Peter Rabbit,2018,"Animation, Adventure, Comedy",6.6,51,26580,936662225
257,Girls Trip,2017,"Comedy, Drama",6.2,71,28506,936662225
258,Fifty Shades Darker,2017,"Drama, Romance",4.6,33,80020,936662225
259,Night at the Museum: Secret of the Tomb,2014,"Adventure, Comedy, Family",6.2,47,91313,936662225
260,Magic Mike,2012,"Comedy, Drama",6.1,72,123060,936662225
261,Bad Moms,2016,Comedy,6.2,60,99350,936662225
262,The Bourne Legacy,2012,"Action, Adventure, Thriller",6.7,61,266569,936662225
263,It's Complicated,2009,"Comedy, Drama, Romance",6.6,57,79865,936662225
264,The Hangover Part III,2013,"Adventure, Comedy, Crime",5.8,30,267555,936662225
265,Mr. Peabody & Sherman,2014,"Animation, Adventure, Comedy",6.8,59,56703,936662225
266,Spy,2015,"Action, Comedy, Crime",7,75,212085,936662225
267,Valentine's Day,2010,"Comedy, Romance",5.7,34,106470,936662225
268,Trainwreck,2015,"Comedy, Drama, Romance",6.2,75,120741,936662225
269,Creed,2015,"Drama, Sport",7.6,82,220325,936662225
270,Couples Retreat,2009,Comedy,5.5,23,93989,936662225
271,Hop,2011,"Animation, Adventure, Comedy",5.4,41,28306,936662225
272,Baby Driver,2017,"Action, Crime, Drama",7.6,86,351747,936662225
273,Epic,2013,"Animation, Adventure, Family",6.7,52,94747,936662225
274,Watchmen,2009,"Action, Drama, Mystery",7.6,56,450678,936662225
275,Angry Birds,2016,"Animation, Action, Adventure",6.3,43,68630,936662225
276,Captain Phillips,2013,"Biography, Drama, Thriller",7.8,83,383719,936662225
277,Black Swan,2010,"Drama, Thriller",8,79,642550,936662225
278,The Upside,2017,"Comedy, Drama",6.4,46,13039,936662225
279,300: Rise of an Empire,2014,"Action, Fantasy, War",6.2,48,260407,936662225
280,Robin Hood,2010,"Action, Adventure, Drama",6.7,53,237862,936662225
281,Pitch Perfect 3,2017,"Comedy, Music",5.8,40,43397,936662225
282,The Princess and the Frog,2009,"Animation, Adventure, Comedy",7.1,73,107684,936662225
283,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure, Family, Fantasy",6.3,53,127911,936662225
284,Daddy's Home Two,2017,Comedy,6,30,46902,936662225
285,Paranormal Activity 3,2011,"Horror, Mystery, Thriller",5.8,59,85112,936662225
286,Journey 2: The Mysterious Island,2012,"Action, Adventure, Comedy",5.8,41,82514,936662225
287,The Mule,2018,"Crime, Drama, Thriller",7.1,58,32316,936662225
288,Rise of the Guardians,2012,"Animation, Action, Adventure",7.3,57,143893,936662225
289,Independence Day: Resurgence,2016,"Action, Adventure, Sci-Fi",5.2,32,153287,936662225
290,The Expendables,2010,"Action, Adventure, Thriller",6.5,45,305568,936662225
291,Just Go with It,2011,"Comedy, Romance",6.4,33,199012,936662225
292,Murder on the Orient Express,2017,"Crime, Drama, Mystery",6.5,52,174547,936662225
293,The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",7.8,71,384407,936662225
