,Title,Studio_Abbreviation,Worldwide_Gross,Domestic_Gross,Domestic_Share,Overseas_Gross,Overseas_Share,Year_x,Genre,IMDB_Score,Metascore,Votes,Subgenre1,Subgrene2,Subgrene3
806,My Sister's Keeper,WB (NL),95.7,49.2,51.4,46.5,48.6,2009,"Drama, Family",7.4,51,84412,Drama, Family,
807,The Lovely Bones,P/DW,93.6,44.1,47.1,49.5,52.9,2009,"Drama, Fantasy, Thriller",6.7,42,144383,Drama, Fantasy, Thriller
808,"I Love You, Man",P/DW,91.6,71.4,78,20.2,22,2009,"Comedy, Romance",7,70,184558,Comedy, Romance,
809,Underworld: Rise of the Lycans,SGem,91.4,45.8,50.1,45.6,49.9,2009,"Action, Adventure, Fantasy",6.6,44,140998,Action, Adventure, Fantasy
810,Drag Me to Hell,Uni.,90.8,42.1,46.3,48.7,53.7,2009,"Horror, Thriller",6.6,83,175958,Horror, Thriller,
811,State of Play,Uni.,87.8,37,42.2,50.8,57.8,2009,"Crime, Drama, Mystery",7.1,64,126203,Crime, Drama, Mystery
812,Did You Hear About the Morgans?,Sony,85.3,29.6,34.7,55.7,65.3,2009,"Comedy, Drama, Romance",4.8,27,34452,Comedy, Drama, Romance
813,Duplicity,Uni.,78.1,40.6,51.9,37.6,48.1,2009,"Comedy, Crime, Romance",6.2,69,45076,Comedy, Crime, Romance
814,The Haunting in Connecticut,LGF,77.5,55.4,71.4,22.1,28.6,2009,"Drama, Horror, Mystery",5.9,33,56177,Drama, Horror, Mystery
815,Orphan,WB,76.7,41.6,54.2,35.1,45.8,2009,"Horror, Mystery, Thriller",7,42,173389,Horror, Mystery, Thriller
816,The Pink Panther 2,Sony,75.9,35.9,47.3,40,52.7,2009,"Action, Adventure, Comedy",5.6,36,38763,Action, Adventure, Comedy
817,Obsessed,SGem,73.8,68.3,92.5,5.6,7.5,2009,"Drama, Romance, Thriller",4.9,25,26653,Drama, Romance, Thriller
818,Funny People,Uni.,71.6,51.9,72.4,19.7,27.6,2009,"Comedy, Drama",6.3,60,108532,Comedy, Drama,
819,The Men Who Stare at Goats,Over.,69,32.4,47,36.5,53,2009,"Comedy, War",6.2,54,120629,Comedy, War,
820,L& of the Lost,Uni.,68.8,49.4,71.9,19.3,28.1,2009,"Action, Adventure, Comedy",5.4,32,60043,Action, Adventure, Comedy
821,Saw VI,LGF,68.2,27.7,40.6,40.5,59.4,2009,"Horror, Mystery, Thriller",6,30,92368,Horror, Mystery, Thriller
822,Year One,Sony,62.4,43.3,69.5,19,30.5,2009,"Adventure, Comedy",4.9,34,85433,Adventure, Comedy,
823,Ninja Assassin,WB,61.6,38.1,61.9,23.5,38.1,2009,"Action, Thriller",6.4,34,64174,Action, Thriller,
824,(500) Days of Summer,FoxS,60.7,32.4,53.3,28.3,46.7,2009,"Comedy, Drama, Romance",7.7,76,437163,Comedy, Drama, Romance
825,The International,Sony,60.2,25.5,42.3,34.7,57.7,2009,"Action, Crime, Drama",6.5,52,86344,Action, Crime, Drama
826,Aliens in the Attic,Fox,57.9,25.2,43.5,32.7,56.5,2009,"Animation, Adventure, Comedy",5.4,42,19276,Animation, Adventure, Comedy
827,Push,Sum.,48.9,31.8,65.1,17,34.9,2009,"Action, Sci-Fi, Thriller",6.1,36,99926,Action, Sci-Fi, Thriller
828,9,Focus,48.4,31.7,65.6,16.7,34.4,2009,"Animation, Action, Adventure",7.1,60,124950,Animation, Action, Adventure
829,The Fourth Kind,Uni.,47.7,25.5,53.4,22.2,46.6,2009,"Mystery, Sci-Fi, Thriller",5.9,34,69563,Mystery, Sci-Fi, Thriller
830,Crazy Heart,FoxS,47.4,39.5,83.2,7.9,16.8,2009,"Drama, Music, Romance",7.3,83,78916,Drama, Music, Romance
831,Brothers,LGF,43.3,28.5,65.9,14.8,34.1,2009,"Drama, War",7.1,58,102151,Drama, War,
832,The Informant!,WB,41.8,33.3,79.8,8.5,20.2,2009,"Biography, Comedy, Crime",6.5,66,59684,Biography, Comedy, Crime
833,The Uninvited,P/DW,41.6,28.6,68.7,13,31.3,2009,"Drama, Horror, Mystery",6.4,43,71170,Drama, Horror, Mystery
834,All About Steve,Fox,40.1,33.9,84.4,6.2,15.6,2009,"Comedy, Romance",4.8,17,37338,Comedy, Romance,
835,The Soloist,P/DW,38.3,31.7,82.7,6.6,17.3,2009,"Biography, Drama, Music",6.7,61,48481,Biography, Drama, Music
836,Dance Flick,Par.,31.4,25.7,81.6,5.8,18.4,2009,"Action, Comedy, Music",3.5,40,11061,Action, Comedy, Music
837,Observe & Report,WB,27,24,89,3,11,2009,"Comedy, Crime, Drama",5.8,54,56506,Comedy, Crime, Drama
